,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,Shopid,District,Area,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins
275,12,1,3,0,0,7,39.97055,116.32086,1754965,1,17,419,186,32,6,29,12,3,151,9,737,235
276,13,1,2,0,0,0,39.8967,116.41953,1755145,2,17,241,68,60,6,2,7,12,86,18,485,123
277,11,1,2,0,0,0,39.91036,116.37595,1755172,3,1,225,11,136,6,5,0,0,67,25,1486,140
278,5,1,1,0,0,0,39.91249,116.45119,1755187,4,2,0,0,0,0,0,0,0,0,0,72,0
282,7,1,3,0,4.9,0,39.91081,116.41183,1759945,2,3,0,0,0,0,0,0,0,0,0,1279,0
283,12,1,3,0,0,0,39.87791,116.48688,1759957,4,17,579,335,42,7,2,9,5,179,7,2874,1330
284,11,1,3,0,0,0,39.86094,116.39843,1763131,5,17,2559,452,211,36,5,86,6,1763,21,1126,597
286,11,1,3,0,0,0,39.94918,116.46334,1766173,4,4,491,183,7,4,22,16,19,240,3,344,138
287,13,1,0,0,0,0,39.91412,116.37363,1766182,3,1,296,6,11,1,0,0,0,278,4,33,10
288,9,1,1,0,0,0,39.9775,116.39277,1766185,4,5,0,0,0,0,0,0,0,0,0,13,0
289,12,1,3,0,0,6.9,39.90826,116.35847,1766191,3,17,554,244,30,8,38,16,23,195,8,1020,716
290,12,1,3,0,0,0,39.987,116.373,1766194,4,5,270,87,30,5,15,5,8,120,4,521,216
291,12,1,3,0,0,0,39.90784,116.34494,1766203,3,17,314,125,20,2,8,8,21,130,3,518,296
292,11,1,3,0,0,0,39.90904,116.30814,1766215,1,17,432,190,59,4,36,2,13,128,1,194,91
293,12,1,3,0,0,0,39.90884,116.3074,1766218,1,17,447,192,68,4,37,2,12,132,7,493,119
294,11,1,3,0,0,6.9,39.90814,116.30344,1766221,1,17,756,348,37,6,31,17,32,285,9,1031,552
295,12,1,3,7,0,0,39.97732,116.36725,1766224,1,17,153,37,28,7,18,7,2,54,9,483,348
296,11,1,3,0,0,0,39.90952,116.41457,1766230,2,3,278,70,77,14,10,0,5,102,11,2199,1332
297,7,1,3,0,0,0,39.92372,116.43958,1766239,4,6,136,20,56,5,4,0,1,50,13,396,163
298,12,1,3,0,0,7,39.92746,116.33335,1766245,3,17,426,179,43,9,13,10,5,167,12,473,232
299,11,1,3,0,6,6,39.91075,116.41186,1766248,2,3,157,41,21,2,0,0,7,86,2,490,56
300,24,0,3,0,0,0,39.88481,116.33404,1766251,3,17,0,0,0,0,0,0,0,0,0,2,0
